nohup: ignoring input
================================================================================
[auto-launch] Monitoring training data download
================================================================================
  Expected zarrs: 17
  Zarr directory: /media/jeff/Seagate/ves_zarrs2
  Poll interval:  30s
  Campaign mode:  FULL (all 6 tests)
================================================================================
[2026-08-08 10:07:59] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:08:29] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:08:59] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:09:29] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:10:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:10:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:11:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:11:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:12:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:12:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:13:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:13:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:14:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:14:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 2
[2026-08-08 10:15:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:15:30] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:16:00] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:16:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:17:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:17:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:18:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:18:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:19:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:19:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 3
[2026-08-08 10:20:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 4
[2026-08-08 10:20:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 4
[2026-08-08 10:21:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 5
[2026-08-08 10:21:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:22:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:22:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:23:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:23:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:24:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:24:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:25:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:25:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:26:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:26:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:27:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:27:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:28:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:28:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:29:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:29:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:30:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:30:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:31:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:31:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:32:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:32:31] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:33:01] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:33:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:34:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:34:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:35:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:35:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:36:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:36:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:37:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:37:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:38:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:38:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:39:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:39:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:40:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:40:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:41:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:41:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:42:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:42:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:43:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:43:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:44:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:44:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:45:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:45:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:46:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:46:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:47:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:47:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:48:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:48:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:49:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:49:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:50:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:50:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:51:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:51:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:52:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:52:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:53:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:53:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:54:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:54:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:55:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:55:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:56:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:56:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:57:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:57:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:58:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:58:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:59:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:59:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:00:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:00:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:01:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
