[mae] 20260115000000 frame 6040x8160 axis=y frac=0.8055 -> train y[0,4864] x[0,8160]
[mae] 20250223000000 frame 7220x10020 axis=x frac=0.75 -> train y[0,7200] x[0,7488]
[mae] 20260206000001 frame 5840x8440 axis=x frac=0.75 -> train y[0,5824] x[0,6304]
[mae] 20260115000001 frame 7180x9740 axis=y frac=0.5 -> train y[0,3584] x[0,9728]
[mae] 20260210000000 frame 7500x9880 axis=x frac=0.75 -> train y[0,7488] x[0,7392]
[mae] 20260227000000 frame 7700x9760 axis=x frac=0.75 -> train y[0,7680] x[0,7296]
[mae] 20260318000000 frame 5660x9400 axis=x frac=0.75 -> train y[0,5632] x[0,7040]
[mae] 20260325000000 frame 5980x8260 axis=x frac=0.75 -> train y[0,5952] x[0,6176]
[mae] 20260108000000 frame 6200x8020 axis=x frac=0.75 -> train y[0,6176] x[0,5984]
[mae] 20250831000000 frame 6400x7980 axis=x frac=0.75 -> train y[0,6400] x[0,5984]
[mae] 20260302000000 frame 8560x7720 axis=x frac=0.75 -> train y[0,8544] x[0,5760]
[mae] 20260306000000 frame 6200x7440 axis=x frac=0.75 -> train y[0,6176] x[0,5568]
[mae] 20260310000000 frame 6140x7200 axis=x frac=0.75 -> train y[0,6112] x[0,5376]
[mae] 20260303000000 frame 7040x7720 axis=x frac=0.75 -> train y[0,7040] x[0,5760]
[mae] 20260226000000 frame 2180x3560 axis=y frac=0.75 -> train y[0,1632] x[0,3552]
Model parameters (v15_twostage_wide_zgrad): 1,183,076
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1784939350.465560   76856 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1784939350.473258   76856 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1784939350.491178   76856 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1784939350.491207   76856 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1784939350.491210   76856 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1784939350.491212   76856 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
[mae] arch=v15_twostage_wide_zgrad scrolls=15 tile=32 depth=8 -> logging runs_mae/mae_twostage_0725_00-29-13
[mae] step 50/4000  mse=0.02396  (13s)
[mae] step 100/4000  mse=0.01952  (26s)
[mae] step 150/4000  mse=0.01696  (39s)
[mae] step 200/4000  mse=0.01600  (52s)
[mae] step 250/4000  mse=0.01565  (65s)
[mae] step 300/4000  mse=0.01338  (78s)
[mae] step 350/4000  mse=0.01246  (91s)
[mae] step 400/4000  mse=0.01493  (104s)
[mae] step 450/4000  mse=0.01383  (116s)
[mae] step 500/4000  mse=0.01258  (129s)
[mae] step 550/4000  mse=0.01329  (142s)
[mae] step 600/4000  mse=0.01235  (155s)
[mae] step 650/4000  mse=0.01113  (167s)
[mae] step 700/4000  mse=0.01212  (180s)
[mae] step 750/4000  mse=0.01330  (192s)
[mae] step 800/4000  mse=0.01224  (205s)
[mae] step 850/4000  mse=0.01366  (218s)
[mae] step 900/4000  mse=0.01112  (230s)
[mae] step 950/4000  mse=0.01208  (242s)
[mae] step 1000/4000  mse=0.01046  (255s)
[mae] saved models/mae_twostage.pth @ step 1000
[mae] step 1050/4000  mse=0.01188  (267s)
[mae] step 1100/4000  mse=0.01209  (280s)
[mae] step 1150/4000  mse=0.01136  (292s)
[mae] step 1200/4000  mse=0.01037  (305s)
[mae] step 1250/4000  mse=0.01212  (317s)
[mae] step 1300/4000  mse=0.01285  (329s)
[mae] step 1350/4000  mse=0.01093  (342s)
[mae] step 1400/4000  mse=0.01132  (354s)
[mae] step 1450/4000  mse=0.01097  (367s)
[mae] step 1500/4000  mse=0.01269  (380s)
[mae] step 1550/4000  mse=0.01183  (392s)
[mae] step 1600/4000  mse=0.01254  (405s)
[mae] step 1650/4000  mse=0.01253  (417s)
[mae] step 1700/4000  mse=0.01089  (430s)
[mae] step 1750/4000  mse=0.01022  (442s)
[mae] step 1800/4000  mse=0.01215  (455s)
[mae] step 1850/4000  mse=0.01166  (468s)
[mae] step 1900/4000  mse=0.01054  (480s)
[mae] step 1950/4000  mse=0.00968  (492s)
[mae] step 2000/4000  mse=0.01035  (505s)
[mae] saved models/mae_twostage.pth @ step 2000
[mae] step 2050/4000  mse=0.00981  (517s)
[mae] step 2100/4000  mse=0.01045  (530s)
[mae] step 2150/4000  mse=0.01135  (542s)
[mae] step 2200/4000  mse=0.01065  (554s)
[mae] step 2250/4000  mse=0.01022  (567s)
[mae] step 2300/4000  mse=0.01063  (579s)
[mae] step 2350/4000  mse=0.01034  (591s)
[mae] step 2400/4000  mse=0.00907  (604s)
[mae] step 2450/4000  mse=0.00944  (616s)
[mae] step 2500/4000  mse=0.01171  (628s)
[mae] step 2550/4000  mse=0.01034  (640s)
[mae] step 2600/4000  mse=0.00952  (655s)
[mae] step 2650/4000  mse=0.00982  (667s)
[mae] step 2700/4000  mse=0.00975  (680s)
[mae] step 2750/4000  mse=0.00971  (692s)
[mae] step 2800/4000  mse=0.00948  (705s)
[mae] step 2850/4000  mse=0.01000  (716s)
[mae] step 2900/4000  mse=0.00973  (728s)
[mae] step 2950/4000  mse=0.00896  (741s)
[mae] step 3000/4000  mse=0.00935  (753s)
[mae] saved models/mae_twostage.pth @ step 3000
[mae] step 3050/4000  mse=0.00986  (765s)
[mae] step 3100/4000  mse=0.01096  (776s)
[mae] step 3150/4000  mse=0.01091  (788s)
[mae] step 3200/4000  mse=0.00918  (800s)
[mae] step 3250/4000  mse=0.01158  (811s)
[mae] step 3300/4000  mse=0.00891  (823s)
[mae] step 3350/4000  mse=0.01180  (835s)
[mae] step 3400/4000  mse=0.01114  (846s)
[mae] step 3450/4000  mse=0.00908  (858s)
[mae] step 3500/4000  mse=0.01011  (869s)
[mae] step 3550/4000  mse=0.01092  (881s)
[mae] step 3600/4000  mse=0.00995  (892s)
[mae] step 3650/4000  mse=0.00977  (904s)
[mae] step 3700/4000  mse=0.00986  (916s)
[mae] step 3750/4000  mse=0.00978  (927s)
[mae] step 3800/4000  mse=0.01190  (939s)
[mae] step 3850/4000  mse=0.00927  (950s)
[mae] step 3900/4000  mse=0.00998  (961s)
[mae] step 3950/4000  mse=0.00930  (973s)
[mae] step 4000/4000  mse=0.01146  (984s)
[mae] saved models/mae_twostage.pth @ step 4000
